Date,High,Close_1,Open_1,High_1,Low_1,Vol_1,Change_1,Close_2,Open_2,High_2,Low_2,Vol_2,Change_2,Close_3,Open_3,High_3,Low_3,Vol_3,Change_3,Close_4,Open_4,High_4,Low_4,Vol_4,Change_4,Close_5,Open_5,High_5,Low_5,Vol_5,Change_5
5/11/2021,4569.31,4535.11,4601.93,4604.83,4421.87,495860,-1.46,4602.21,4586.96,4661.88,4458.87,634680,0.35,4586.06,4320.85,4598.38,4287.36,630260,6.14,4320.85,4287.41,4376.94,4157.51,574260,0.78,4287.56,4322.00,4393.61,4169.48,555320,-0.77
4/11/2021,4604.83,4602.21,4586.96,4661.88,4458.87,634680,0.35,4586.06,4320.85,4598.38,4287.36,630260,6.14,4320.85,4287.41,4376.94,4157.51,574260,0.78,4287.56,4322.00,4393.61,4169.48,555320,-0.77,4320.65,4413.70,4428.41,4250.24,494870,-2.11
3/11/2021,4661.88,4586.06,4320.85,4598.38,4287.36,630260,6.14,4320.85,4287.41,4376.94,4157.51,574260,0.78,4287.56,4322.00,4393.61,4169.48,555320,-0.77,4320.65,4413.70,4428.41,4250.24,494870,-2.11,4413.70,4284.90,4458.30,4268.21,781570,3.01
2/11/2021,4598.38,4320.85,4287.41,4376.94,4157.51,574260,0.78,4287.56,4322.00,4393.61,4169.48,555320,-0.77,4320.65,4413.70,4428.41,4250.24,494870,-2.11,4413.70,4284.90,4458.30,4268.21,781570,3.01,4284.90,3921.54,4289.80,3896.33,865800,9.25
1/11/2021,4376.94,4287.56,4322.00,4393.61,4169.48,555320,-0.77,4320.65,4413.70,4428.41,4250.24,494870,-2.11,4413.70,4284.90,4458.30,4268.21,781570,3.01,4284.90,3921.54,4289.80,3896.33,865800,9.25,3921.93,4130.06,4299.61,3914.06,1070000,-5.03
31/10/2021,4393.61,4320.65,4413.70,4428.41,4250.24,494870,-2.11,4413.70,4284.90,4458.30,4268.21,781570,3.01,4284.90,3921.54,4289.80,3896.33,865800,9.25,3921.93,4130.06,4299.61,3914.06,1070000,-5.03,4129.51,4219.92,4291.98,4098.19,559290,-2.14
30/10/2021,4428.41,4413.70,4284.90,4458.30,4268.21,781570,3.01,4284.90,3921.54,4289.80,3896.33,865800,9.25,3921.93,4130.06,4299.61,3914.06,1070000,-5.03,4129.51,4219.92,4291.98,4098.19,559290,-2.14,4219.92,4082.68,4234.76,4069.94,481410,3.36
29/10/2021,4458.30,4284.90,3921.54,4289.80,3896.33,865800,9.25,3921.93,4130.06,4299.61,3914.06,1070000,-5.03,4129.51,4219.92,4291.98,4098.19,559290,-2.14,4219.92,4082.68,4234.76,4069.94,481410,3.36,4082.80,4168.80,4184.00,3965.84,507630,-2.06
28/10/2021,4289.80,3921.93,4130.06,4299.61,3914.06,1070000,-5.03,4129.51,4219.92,4291.98,4098.19,559290,-2.14,4219.92,4082.68,4234.76,4069.94,481410,3.36,4082.80,4168.80,4184.00,3965.84,507630,-2.06,4168.85,3970.94,4169.33,3938.79,487030,4.98
27/10/2021,4299.61,4129.51,4219.92,4291.98,4098.19,559290,-2.14,4219.92,4082.68,4234.76,4069.94,481410,3.36,4082.80,4168.80,4184.00,3965.84,507630,-2.06,4168.85,3970.94,4169.33,3938.79,487030,4.98,3970.94,4053.89,4164.11,3896.40,654770,-2.05
26/10/2021,4291.98,4219.92,4082.68,4234.76,4069.94,481410,3.36,4082.80,4168.80,4184.00,3965.84,507630,-2.06,4168.85,3970.94,4169.33,3938.79,487030,4.98,3970.94,4053.89,4164.11,3896.40,654770,-2.05,4054.16,4160.51,4366.91,4029.48,1140000,-2.54
25/10/2021,4234.76,4082.80,4168.80,4184.00,3965.84,507630,-2.06,4168.85,3970.94,4169.33,3938.79,487030,4.98,3970.94,4053.89,4164.11,3896.40,654770,-2.05,4054.16,4160.51,4366.91,4029.48,1140000,-2.54,4159.89,3876.76,4168.12,3830.26,752030,7.30
24/10/2021,4184.00,4168.85,3970.94,4169.33,3938.79,487030,4.98,3970.94,4053.89,4164.11,3896.40,654770,-2.05,4054.16,4160.51,4366.91,4029.48,1140000,-2.54,4159.89,3876.76,4168.12,3830.26,752030,7.30,3876.78,3745.46,3884.34,3733.78,488600,3.45
23/10/2021,4169.33,3970.94,4053.89,4164.11,3896.40,654770,-2.05,4054.16,4160.51,4366.91,4029.48,1140000,-2.54,4159.89,3876.76,4168.12,3830.26,752030,7.30,3876.78,3745.46,3884.34,3733.78,488600,3.45,3747.60,3848.64,3892.01,3685.82,578210,-2.55
22/10/2021,4164.11,4054.16,4160.51,4366.91,4029.48,1140000,-2.54,4159.89,3876.76,4168.12,3830.26,752030,7.30,3876.78,3745.46,3884.34,3733.78,488600,3.45,3747.60,3848.64,3892.01,3685.82,578210,-2.55,3845.47,3827.55,3917.56,3664.63,543520,0.47
21/10/2021,4366.91,4159.89,3876.76,4168.12,3830.26,752030,7.30,3876.78,3745.46,3884.34,3733.78,488600,3.45,3747.60,3848.64,3892.01,3685.82,578210,-2.55,3845.47,3827.55,3917.56,3664.63,543520,0.47,3827.55,3869.05,3967.43,3804.55,527610,-1.02
20/10/2021,4168.12,3876.78,3745.46,3884.34,3733.78,488600,3.45,3747.60,3848.64,3892.01,3685.82,578210,-2.55,3845.47,3827.55,3917.56,3664.63,543520,0.47,3827.55,3869.05,3967.43,3804.55,527610,-1.02,3866.90,3790.34,3904.91,3735.21,721140,2.02
19/10/2021,3884.34,3747.60,3848.64,3892.01,3685.82,578210,-2.55,3845.47,3827.55,3917.56,3664.63,543520,0.47,3827.55,3869.05,3967.43,3804.55,527610,-1.02,3866.90,3790.34,3904.91,3735.21,721140,2.02,3790.41,3607.36,3820.47,3588.24,697090,5.08
18/10/2021,3892.01,3845.47,3827.55,3917.56,3664.63,543520,0.47,3827.55,3869.05,3967.43,3804.55,527610,-1.02,3866.90,3790.34,3904.91,3735.21,721140,2.02,3790.41,3607.36,3820.47,3588.24,697090,5.08,3607.28,3491.08,3612.04,3416.00,557180,3.36
17/10/2021,3917.56,3827.55,3869.05,3967.43,3804.55,527610,-1.02,3866.90,3790.34,3904.91,3735.21,721140,2.02,3790.41,3607.36,3820.47,3588.24,697090,5.08,3607.28,3491.08,3612.04,3416.00,557180,3.36,3489.90,3541.49,3545.35,3404.49,609890,-1.56
16/10/2021,3967.43,3866.90,3790.34,3904.91,3735.21,721140,2.02,3790.41,3607.36,3820.47,3588.24,697090,5.08,3607.28,3491.08,3612.04,3416.00,557180,3.36,3489.90,3541.49,3545.35,3404.49,609890,-1.56,3545.06,3414.93,3622.53,3381.43,683240,3.81
15/10/2021,3904.91,3790.41,3607.36,3820.47,3588.24,697090,5.08,3607.28,3491.08,3612.04,3416.00,557180,3.36,3489.90,3541.49,3545.35,3404.49,609890,-1.56,3545.06,3414.93,3622.53,3381.43,683240,3.81,3415.03,3574.52,3599.18,3409.22,767490,-4.45
14/10/2021,3820.47,3607.28,3491.08,3612.04,3416.00,557180,3.36,3489.90,3541.49,3545.35,3404.49,609890,-1.56,3545.06,3414.93,3622.53,3381.43,683240,3.81,3415.03,3574.52,3599.18,3409.22,767490,-4.45,3574.20,3559.96,3626.11,3541.40,464110,0.42
13/10/2021,3612.04,3489.90,3541.49,3545.35,3404.49,609890,-1.56,3545.06,3414.93,3622.53,3381.43,683240,3.81,3415.03,3574.52,3599.18,3409.22,767490,-4.45,3574.20,3559.96,3626.11,3541.40,464110,0.42,3559.42,3586.91,3668.35,3537.24,681740,-0.74
12/10/2021,3545.35,3545.06,3414.93,3622.53,3381.43,683240,3.81,3415.03,3574.52,3599.18,3409.22,767490,-4.45,3574.20,3559.96,3626.11,3541.40,464110,0.42,3559.42,3586.91,3668.35,3537.24,681740,-0.74,3586.00,3575.43,3650.18,3473.47,826290,0.30
11/10/2021,3622.53,3415.03,3574.52,3599.18,3409.22,767490,-4.45,3574.20,3559.96,3626.11,3541.40,464110,0.42,3559.42,3586.91,3668.35,3537.24,681740,-0.74,3586.00,3575.43,3650.18,3473.47,826290,0.30,3575.41,3515.35,3627.19,3345.56,1050000,1.65
10/10/2021,3599.18,3574.20,3559.96,3626.11,3541.40,464110,0.42,3559.42,3586.91,3668.35,3537.24,681740,-0.74,3586.00,3575.43,3650.18,3473.47,826290,0.30,3575.41,3515.35,3627.19,3345.56,1050000,1.65,3517.26,3383.32,3540.83,3365.28,663880,3.97
9/10/2021,3626.11,3559.42,3586.91,3668.35,3537.24,681740,-0.74,3586.00,3575.43,3650.18,3473.47,826290,0.30,3575.41,3515.35,3627.19,3345.56,1050000,1.65,3517.26,3383.32,3540.83,3365.28,663880,3.97,3382.90,3417.26,3436.34,3273.22,826830,-1.01
8/10/2021,3668.35,3586.00,3575.43,3650.18,3473.47,826290,0.30,3575.41,3515.35,3627.19,3345.56,1050000,1.65,3517.26,3383.32,3540.83,3365.28,663880,3.97,3382.90,3417.26,3436.34,3273.22,826830,-1.01,3417.34,3388.83,3485.48,3346.63,642590,0.84
7/10/2021,3650.18,3575.41,3515.35,3627.19,3345.56,1050000,1.65,3517.26,3383.32,3540.83,3365.28,663880,3.97,3382.90,3417.26,3436.34,3273.22,826830,-1.01,3417.34,3388.83,3485.48,3346.63,642590,0.84,3388.97,3309.14,3467.95,3265.97,778150,2.41
6/10/2021,3627.19,3517.26,3383.32,3540.83,3365.28,663880,3.97,3382.90,3417.26,3436.34,3273.22,826830,-1.01,3417.34,3388.83,3485.48,3346.63,642590,0.84,3388.97,3309.14,3467.95,3265.97,778150,2.41,3309.13,2999.86,3329.32,2972.75,1140000,10.28
5/10/2021,3540.83,3382.90,3417.26,3436.34,3273.22,826830,-1.01,3417.34,3388.83,3485.48,3346.63,642590,0.84,3388.97,3309.14,3467.95,3265.97,778150,2.41,3309.13,2999.86,3329.32,2972.75,1140000,10.28,3000.59,2851.06,3047.08,2837.68,968230,5.23
4/10/2021,3436.34,3417.34,3388.83,3485.48,3346.63,642590,0.84,3388.97,3309.14,3467.95,3265.97,778150,2.41,3309.13,2999.86,3329.32,2972.75,1140000,10.28,3000.59,2851.06,3047.08,2837.68,968230,5.23,2851.50,2807.15,2948.50,2784.66,728860,1.58
3/10/2021,3485.48,3388.97,3309.14,3467.95,3265.97,778150,2.41,3309.13,2999.86,3329.32,2972.75,1140000,10.28,3000.59,2851.06,3047.08,2837.68,968230,5.23,2851.50,2807.15,2948.50,2784.66,728860,1.58,2807.28,2926.04,2969.18,2791.42,896280,-4.07
2/10/2021,3467.95,3309.13,2999.86,3329.32,2972.75,1140000,10.28,3000.59,2851.06,3047.08,2837.68,968230,5.23,2851.50,2807.15,2948.50,2784.66,728860,1.58,2807.28,2926.04,2969.18,2791.42,896280,-4.07,2926.24,3061.86,3163.86,2926.24,865300,-4.48
1/10/2021,3329.32,3000.59,2851.06,3047.08,2837.68,968230,5.23,2851.50,2807.15,2948.50,2784.66,728860,1.58,2807.28,2926.04,2969.18,2791.42,896280,-4.07,2926.24,3061.86,3163.86,2926.24,865300,-4.48,3063.51,2922.47,3113.65,2740.12,1330000,4.82
30/9/2021,3047.08,2851.50,2807.15,2948.50,2784.66,728860,1.58,2807.28,2926.04,2969.18,2791.42,896280,-4.07,2926.24,3061.86,3163.86,2926.24,865300,-4.48,3063.51,2922.47,3113.65,2740.12,1330000,4.82,2922.55,2928.59,2965.48,2812.70,975490,-0.21
29/9/2021,2948.50,2807.28,2926.04,2969.18,2791.42,896280,-4.07,2926.24,3061.86,3163.86,2926.24,865300,-4.48,3063.51,2922.47,3113.65,2740.12,1330000,4.82,2922.55,2928.59,2965.48,2812.70,975490,-0.21,2928.57,3152.92,3158.38,2740.06,1740000,-7.12
28/9/2021,2969.18,2926.24,3061.86,3163.86,2926.24,865300,-4.48,3063.51,2922.47,3113.65,2740.12,1330000,4.82,2922.55,2928.59,2965.48,2812.70,975490,-0.21,2928.57,3152.92,3158.38,2740.06,1740000,-7.12,3152.92,3077.80,3173.00,3035.96,841540,2.44
27/9/2021,3163.86,3063.51,2922.47,3113.65,2740.12,1330000,4.82,2922.55,2928.59,2965.48,2812.70,975490,-0.21,2928.57,3152.92,3158.38,2740.06,1740000,-7.12,3152.92,3077.80,3173.00,3035.96,841540,2.44,3077.78,2764.71,3087.97,2740.58,1190000,11.45
26/9/2021,3113.65,2922.55,2928.59,2965.48,2812.70,975490,-0.21,2928.57,3152.92,3158.38,2740.06,1740000,-7.12,3152.92,3077.80,3173.00,3035.96,841540,2.44,3077.78,2764.71,3087.97,2740.58,1190000,11.45,2761.52,2976.70,3101.88,2659.71,1790000,-7.21
25/9/2021,2965.48,2928.57,3152.92,3158.38,2740.06,1740000,-7.12,3152.92,3077.80,3173.00,3035.96,841540,2.44,3077.78,2764.71,3087.97,2740.58,1190000,11.45,2761.52,2976.70,3101.88,2659.71,1790000,-7.21,2976.05,3328.49,3344.04,2931.64,1720000,-10.61
24/9/2021,3158.38,3152.92,3077.80,3173.00,3035.96,841540,2.44,3077.78,2764.71,3087.97,2740.58,1190000,11.45,2761.52,2976.70,3101.88,2659.71,1790000,-7.21,2976.05,3328.49,3344.04,2931.64,1720000,-10.61,3329.12,3435.92,3455.67,3282.85,614000,-3.11
23/9/2021,3173.00,3077.78,2764.71,3087.97,2740.58,1190000,11.45,2761.52,2976.70,3101.88,2659.71,1790000,-7.21,2976.05,3328.49,3344.04,2931.64,1720000,-10.61,3329.12,3435.92,3455.67,3282.85,614000,-3.11,3435.97,3398.55,3539.50,3371.33,600190,1.10
22/9/2021,3087.97,2761.52,2976.70,3101.88,2659.71,1790000,-7.21,2976.05,3328.49,3344.04,2931.64,1720000,-10.61,3329.12,3435.92,3455.67,3282.85,614000,-3.11,3435.97,3398.55,3539.50,3371.33,600190,1.10,3398.65,3569.92,3592.20,3352.32,748100,-4.78
21/9/2021,3101.88,2976.05,3328.49,3344.04,2931.64,1720000,-10.61,3329.12,3435.92,3455.67,3282.85,614000,-3.11,3435.97,3398.55,3539.50,3371.33,600190,1.10,3398.65,3569.92,3592.20,3352.32,748100,-4.78,3569.43,3612.23,3672.68,3488.53,195790,-1.18
20/9/2021,3344.04,3329.12,3435.92,3455.67,3282.85,614000,-3.11,3435.97,3398.55,3539.50,3371.33,600190,1.10,3398.65,3569.92,3592.20,3352.32,748100,-4.78,3569.43,3612.23,3672.68,3488.53,195790,-1.18,3611.90,3430.36,3612.29,3361.63,790270,5.34
19/9/2021,3455.67,3435.97,3398.55,3539.50,3371.33,600190,1.10,3398.65,3569.92,3592.20,3352.32,748100,-4.78,3569.43,3612.23,3672.68,3488.53,195790,-1.18,3611.90,3430.36,3612.29,3361.63,790270,5.34,3428.87,3284.65,3428.87,3270.91,720340,4.39
18/9/2021,3539.50,3398.65,3569.92,3592.20,3352.32,748100,-4.78,3569.43,3612.23,3672.68,3488.53,195790,-1.18,3611.90,3430.36,3612.29,3361.63,790270,5.34,3428.87,3284.65,3428.87,3270.91,720340,4.39,3284.52,3408.17,3429.24,3118.66,1340000,-3.63
17/9/2021,3592.20,3569.43,3612.23,3672.68,3488.53,195790,-1.18,3611.90,3430.36,3612.29,3361.63,790270,5.34,3428.87,3284.65,3428.87,3270.91,720340,4.39,3284.52,3408.17,3429.24,3118.66,1340000,-3.63,3408.28,3267.33,3469.50,3231.87,805970,4.31
16/9/2021,3672.68,3611.90,3430.36,3612.29,3361.63,790270,5.34,3428.87,3284.65,3428.87,3270.91,720340,4.39,3284.52,3408.17,3429.24,3118.66,1340000,-3.63,3408.28,3267.33,3469.50,3231.87,805970,4.31,3267.33,3209.37,3345.37,3202.41,732950,1.87
15/9/2021,3612.29,3428.87,3284.65,3428.87,3270.91,720340,4.39,3284.52,3408.17,3429.24,3118.66,1340000,-3.63,3408.28,3267.33,3469.50,3231.87,805970,4.31,3267.33,3209.37,3345.37,3202.41,732950,1.87,3207.27,3423.87,3512.90,3156.28,1210000,-6.32
14/9/2021,3428.87,3284.52,3408.17,3429.24,3118.66,1340000,-3.63,3408.28,3267.33,3469.50,3231.87,805970,4.31,3267.33,3209.37,3345.37,3202.41,732950,1.87,3207.27,3423.87,3512.90,3156.28,1210000,-6.32,3423.51,3498.92,3564.30,3395.94,1090000,-2.05
13/9/2021,3429.24,3408.28,3267.33,3469.50,3231.87,805970,4.31,3267.33,3209.37,3345.37,3202.41,732950,1.87,3207.27,3423.87,3512.90,3156.28,1210000,-6.32,3423.51,3498.92,3564.30,3395.94,1090000,-2.05,3495.10,3424.35,3557.67,3221.60,780680,2.10
12/9/2021,3469.50,3267.33,3209.37,3345.37,3202.41,732950,1.87,3207.27,3423.87,3512.90,3156.28,1210000,-6.32,3423.51,3498.92,3564.30,3395.94,1090000,-2.05,3495.10,3424.35,3557.67,3221.60,780680,2.10,3423.12,3926.84,3945.79,3061.30,2470000,-12.84
11/9/2021,3345.37,3207.27,3423.87,3512.90,3156.28,1210000,-6.32,3423.51,3498.92,3564.30,3395.94,1090000,-2.05,3495.10,3424.35,3557.67,3221.60,780680,2.10,3423.12,3926.84,3945.79,3061.30,2470000,-12.84,3927.21,3950.20,3968.20,3867.55,764560,-0.59
10/9/2021,3512.90,3423.51,3498.92,3564.30,3395.94,1090000,-2.05,3495.10,3424.35,3557.67,3221.60,780680,2.10,3423.12,3926.84,3945.79,3061.30,2470000,-12.84,3927.21,3950.20,3968.20,3867.55,764560,-0.59,3950.62,3885.40,3981.22,3834.74,714160,1.69
9/9/2021,3564.30,3495.10,3424.35,3557.67,3221.60,780680,2.10,3423.12,3926.84,3945.79,3061.30,2470000,-12.84,3927.21,3950.20,3968.20,3867.55,764560,-0.59,3950.62,3885.40,3981.22,3834.74,714160,1.69,3884.97,3938.45,3968.33,3844.07,672530,-1.30
8/9/2021,3557.67,3423.12,3926.84,3945.79,3061.30,2470000,-12.84,3927.21,3950.20,3968.20,3867.55,764560,-0.59,3950.62,3885.40,3981.22,3834.74,714160,1.69,3884.97,3938.45,3968.33,3844.07,672530,-1.30,3936.29,3785.85,4024.89,3715.97,1200000,3.96
7/9/2021,3945.79,3927.21,3950.20,3968.20,3867.55,764560,-0.59,3950.62,3885.40,3981.22,3834.74,714160,1.69,3884.97,3938.45,3968.33,3844.07,672530,-1.30,3936.29,3785.85,4024.89,3715.97,1200000,3.96,3786.19,3826.90,3833.89,3723.42,928700,-1.21
6/9/2021,3968.20,3950.62,3885.40,3981.22,3834.74,714160,1.69,3884.97,3938.45,3968.33,3844.07,672530,-1.30,3936.29,3785.85,4024.89,3715.97,1200000,3.96,3786.19,3826.90,3833.89,3723.42,928700,-1.21,3832.73,3429.65,3839.91,3384.82,1480000,11.72
5/9/2021,3981.22,3884.97,3938.45,3968.33,3844.07,672530,-1.30,3936.29,3785.85,4024.89,3715.97,1200000,3.96,3786.19,3826.90,3833.89,3723.42,928700,-1.21,3832.73,3429.65,3839.91,3384.82,1480000,11.72,3430.74,3228.23,3467.42,3191.34,1520000,6.36
4/9/2021,3968.33,3936.29,3785.85,4024.89,3715.97,1200000,3.96,3786.19,3826.90,3833.89,3723.42,928700,-1.21,3832.73,3429.65,3839.91,3384.82,1480000,11.72,3430.74,3228.23,3467.42,3191.34,1520000,6.36,3225.67,3222.43,3345.72,3145.53,966580,0.11
3/9/2021,4024.89,3786.19,3826.90,3833.89,3723.42,928700,-1.21,3832.73,3429.65,3839.91,3384.82,1480000,11.72,3430.74,3228.23,3467.42,3191.34,1520000,6.36,3225.67,3222.43,3345.72,3145.53,966580,0.11,3222.16,3243.96,3282.21,3155.31,643730,-0.67
2/9/2021,3833.89,3832.73,3429.65,3839.91,3384.82,1480000,11.72,3430.74,3228.23,3467.42,3191.34,1520000,6.36,3225.67,3222.43,3345.72,3145.53,966580,0.11,3222.16,3243.96,3282.21,3155.31,643730,-0.67,3243.90,3273.78,3284.58,3212.24,466210,-0.91
1/9/2021,3839.91,3430.74,3228.23,3467.42,3191.34,1520000,6.36,3225.67,3222.43,3345.72,3145.53,966580,0.11,3222.16,3243.96,3282.21,3155.31,643730,-0.67,3243.90,3273.78,3284.58,3212.24,466210,-0.91,3273.58,3093.78,3279.93,3063.37,839540,5.82
31/8/2021,3467.42,3225.67,3222.43,3345.72,3145.53,966580,0.11,3222.16,3243.96,3282.21,3155.31,643730,-0.67,3243.90,3273.78,3284.58,3212.24,466210,-0.91,3273.58,3093.78,3279.93,3063.37,839540,5.82,3093.54,3228.03,3249.62,3057.48,118440,-4.17
30/8/2021,3345.72,3222.16,3243.96,3282.21,3155.31,643730,-0.67,3243.90,3273.78,3284.58,3212.24,466210,-0.91,3273.58,3093.78,3279.93,3063.37,839540,5.82,3093.54,3228.03,3249.62,3057.48,118440,-4.17,3228.15,3172.12,3247.43,3080.70,923130,1.73
29/8/2021,3282.21,3243.90,3273.78,3284.58,3212.24,466210,-0.91,3273.58,3093.78,3279.93,3063.37,839540,5.82,3093.54,3228.03,3249.62,3057.48,118440,-4.17,3228.15,3172.12,3247.43,3080.70,923130,1.73,3173.26,3322.60,3357.99,3150.75,988820,-4.41
28/8/2021,3284.58,3273.58,3093.78,3279.93,3063.37,839540,5.82,3093.54,3228.03,3249.62,3057.48,118440,-4.17,3228.15,3172.12,3247.43,3080.70,923130,1.73,3173.26,3322.60,3357.99,3150.75,988820,-4.41,3319.49,3238.41,3375.42,3231.96,1090000,2.49
27/8/2021,3279.93,3093.54,3228.03,3249.62,3057.48,118440,-4.17,3228.15,3172.12,3247.43,3080.70,923130,1.73,3173.26,3322.60,3357.99,3150.75,988820,-4.41,3319.49,3238.41,3375.42,3231.96,1090000,2.49,3238.70,3224.17,3271.94,3128.98,747650,0.46
26/8/2021,3249.62,3228.15,3172.12,3247.43,3080.70,923130,1.73,3173.26,3322.60,3357.99,3150.75,988820,-4.41,3319.49,3238.41,3375.42,3231.96,1090000,2.49,3238.70,3224.17,3271.94,3128.98,747650,0.46,3223.96,3285.12,3307.33,3200.19,768740,-1.83
25/8/2021,3247.43,3173.26,3322.60,3357.99,3150.75,988820,-4.41,3319.49,3238.41,3375.42,3231.96,1090000,2.49,3238.70,3224.17,3271.94,3128.98,747650,0.46,3223.96,3285.12,3307.33,3200.19,768740,-1.83,3284.21,3184.83,3300.36,3179.18,739320,3.12
24/8/2021,3357.99,3319.49,3238.41,3375.42,3231.96,1090000,2.49,3238.70,3224.17,3271.94,3128.98,747650,0.46,3223.96,3285.12,3307.33,3200.19,768740,-1.83,3284.21,3184.83,3300.36,3179.18,739320,3.12,3184.82,3016.92,3185.51,2962.04,844130,5.57
23/8/2021,3375.42,3238.70,3224.17,3271.94,3128.98,747650,0.46,3223.96,3285.12,3307.33,3200.19,768740,-1.83,3284.21,3184.83,3300.36,3179.18,739320,3.12,3184.82,3016.92,3185.51,2962.04,844130,5.57,3016.91,3012.62,3124.51,2951.04,750740,0.08
22/8/2021,3271.94,3223.96,3285.12,3307.33,3200.19,768740,-1.83,3284.21,3184.83,3300.36,3179.18,739320,3.12,3184.82,3016.92,3185.51,2962.04,844130,5.57,3016.91,3012.62,3124.51,2951.04,750740,0.08,3014.58,3147.67,3290.03,2993.63,1060000,-4.23
21/8/2021,3307.33,3284.21,3184.83,3300.36,3179.18,739320,3.12,3184.82,3016.92,3185.51,2962.04,844130,5.57,3016.91,3012.62,3124.51,2951.04,750740,0.08,3014.58,3147.67,3290.03,2993.63,1060000,-4.23,3147.65,3307.96,3334.22,3138.37,859090,-4.87
20/8/2021,3300.36,3184.82,3016.92,3185.51,2962.04,844130,5.57,3016.91,3012.62,3124.51,2951.04,750740,0.08,3014.58,3147.67,3290.03,2993.63,1060000,-4.23,3147.65,3307.96,3334.22,3138.37,859090,-4.87,3308.87,3264.56,3318.61,3115.34,782810,1.35
19/8/2021,3185.51,3016.91,3012.62,3124.51,2951.04,750740,0.08,3014.58,3147.67,3290.03,2993.63,1060000,-4.23,3147.65,3307.96,3334.22,3138.37,859090,-4.87,3308.87,3264.56,3318.61,3115.34,782810,1.35,3264.69,3322.25,3328.38,3209.45,658600,-1.74
18/8/2021,3124.51,3014.58,3147.67,3290.03,2993.63,1060000,-4.23,3147.65,3307.96,3334.22,3138.37,859090,-4.87,3308.87,3264.56,3318.61,3115.34,782810,1.35,3264.69,3322.25,3328.38,3209.45,658600,-1.74,3322.43,3043.20,3324.53,3035.52,795540,9.16
17/8/2021,3290.03,3147.65,3307.96,3334.22,3138.37,859090,-4.87,3308.87,3264.56,3318.61,3115.34,782810,1.35,3264.69,3322.25,3328.38,3209.45,658600,-1.74,3322.43,3043.20,3324.53,3035.52,795540,9.16,3043.61,3160.17,3236.28,2981.35,965630,-3.79
